repetition,batch_index,input_start,input_end,cumulative_input_count,batch_comparable_count,cumulative_comparable_count,algorithm,batch_runtime_ms
7,13,2401,2600,2600,195,2540,NTable_SharedReuse,4.837573
7,13,2401,2600,2600,195,2540,Pratt,5.229913
7,14,2601,2800,2800,193,2733,NTable_SharedReuse,4.903543
7,14,2601,2800,2800,193,2733,Pratt,5.70578
7,14,2601,2800,2800,193,2733,NTable_Fresh,9.324538
7,15,2801,3000,3000,197,2930,Pratt,5.498969
7,15,2801,3000,3000,197,2930,NTable_Fresh,9.199228
7,15,2801,3000,3000,197,2930,NTable_SharedReuse,4.92891
8,1,1,200,200,195,195,NTable_SharedReuse,9.06716
8,1,1,200,200,195,195,Pratt,6.808951
8,1,1,200,200,195,195,NTable_Fresh,11.542486
8,2,201,400,400,196,391,Pratt,6.1511
8,2,201,400,400,196,391,NTable_Fresh,10.124201
8,2,201,400,400,196,391,NTable_SharedReuse,5.856267
8,3,401,600,600,197,588,NTable_Fresh,10.051151
8,3,401,600,600,197,588,NTable_SharedReuse,5.371807
8,3,401,600,600,197,588,Pratt,5.89167
8,4,601,800,800,195,783,NTable_SharedReuse,5.796767
8,4,601,800,800,195,783,Pratt,6.033344
8,4,601,800,800,195,783,NTable_Fresh,10.205794
8,5,801,1000,1000,195,978,Pratt,6.776601
8,5,801,1000,1000,195,978,NTable_Fresh,11.567805
8,5,801,1000,1000,195,978,NTable_SharedReuse,6.026272
8,6,1001,1200,1200,193,1171,NTable_Fresh,11.018288
8,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.523795
8,6,1001,1200,1200,193,1171,Pratt,6.166904
8,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.258827
8,7,1201,1400,1400,195,1366,Pratt,5.821384
8,7,1201,1400,1400,195,1366,NTable_Fresh,9.985993
8,8,1401,1600,1600,198,1564,Pratt,6.062727
8,8,1401,1600,1600,198,1564,NTable_Fresh,10.805577
8,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.718069
8,9,1601,1800,1800,195,1759,NTable_Fresh,9.296746
8,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.880638
8,9,1601,1800,1800,195,1759,Pratt,5.351376
8,10,1801,2000,2000,198,1957,NTable_SharedReuse,5.808303
8,10,1801,2000,2000,198,1957,Pratt,6.391822
8,10,1801,2000,2000,198,1957,NTable_Fresh,11.554836
8,11,2001,2200,2200,193,2150,Pratt,6.130389
8,11,2001,2200,2200,193,2150,NTable_Fresh,10.529462
8,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.42644
8,12,2201,2400,2400,195,2345,NTable_Fresh,10.912509
8,12,2201,2400,2400,195,2345,NTable_SharedReuse,5.781544
8,12,2201,2400,2400,195,2345,Pratt,6.746316
8,13,2401,2600,2600,195,2540,NTable_SharedReuse,4.801088
8,13,2401,2600,2600,195,2540,Pratt,5.346639
8,13,2401,2600,2600,195,2540,NTable_Fresh,9.292669
8,14,2601,2800,2800,193,2733,Pratt,5.383004
8,14,2601,2800,2800,193,2733,NTable_Fresh,8.988231
8,14,2601,2800,2800,193,2733,NTable_SharedReuse,4.807478
8,15,2801,3000,3000,197,2930,NTable_Fresh,9.294873
8,15,2801,3000,3000,197,2930,NTable_SharedReuse,4.932456
8,15,2801,3000,3000,197,2930,Pratt,5.490085
9,1,1,200,200,195,195,Pratt,7.023673
9,1,1,200,200,195,195,NTable_Fresh,11.61807
9,1,1,200,200,195,195,NTable_SharedReuse,9.005928
9,2,201,400,400,196,391,NTable_Fresh,10.477002
9,2,201,400,400,196,391,NTable_SharedReuse,6.499475
9,2,201,400,400,196,391,Pratt,5.890217
9,3,401,600,600,197,588,NTable_SharedReuse,5.461172
9,3,401,600,600,197,588,Pratt,6.829632
9,3,401,600,600,197,588,NTable_Fresh,10.545446
9,4,601,800,800,195,783,Pratt,6.101916
9,4,601,800,800,195,783,NTable_Fresh,10.564705
9,4,601,800,800,195,783,NTable_SharedReuse,5.375112
9,5,801,1000,1000,195,978,NTable_Fresh,11.742158
9,5,801,1000,1000,195,978,NTable_SharedReuse,6.019823
9,5,801,1000,1000,195,978,Pratt,6.82157
9,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.575274
9,6,1001,1200,1200,193,1171,Pratt,6.208396
9,6,1001,1200,1200,193,1171,NTable_Fresh,11.565361
9,7,1201,1400,1400,195,1366,Pratt,6.002156
9,7,1201,1400,1400,195,1366,NTable_Fresh,9.968617
9,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.217615
9,8,1401,1600,1600,198,1564,NTable_Fresh,10.399747
9,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.491758
9,8,1401,1600,1600,198,1564,Pratt,6.034625
9,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.87561
9,9,1601,1800,1800,195,1759,Pratt,5.306638
9,9,1601,1800,1800,195,1759,NTable_Fresh,9.533342
